age,gender,education,income,experience,home_ownership,loan_amount,loan_intent,loan_int_rate,loan_percent_income,credit_score,pending_loan,loan_status
22,female,Master,71948,0,RENT,35000,PERSONAL,16.02,0.49,561,No,1
23,female,Bachelor,79753,0,RENT,35000,MEDICAL,15.23,0.44,675,No,1
24,male,Master,66135,1,RENT,35000,MEDICAL,14.27,0.53,586,No,1
26,female,Bachelor,93471,1,RENT,35000,EDUCATION,12.42,0.37,701,No,1
24,female,High School,95550,5,RENT,35000,MEDICAL,11.11,0.37,585,No,1
24,female,Associate,100684,3,RENT,35000,PERSONAL,8.9,0.35,544,No,1
22,female,High School,102985,0,RENT,35000,VENTURE,10.37,0.34,621,No,1
23,male,Bachelor,114860,3,RENT,35000,VENTURE,7.9,0.3,573,No,1
26,male,Master,130713,0,RENT,35000,EDUCATION,18.39,0.27,708,No,1
23,female,Associate,138998,0,RENT,35000,EDUCATION,7.9,0.25,583,No,0
23,female,Master,600891,5,MORTGAGE,30000,DEBTCONSOLIDATION,10.65,0.05,670,Yes,0
23,male,Bachelor,144943,0,RENT,35000,EDUCATION,7.9,0.24,663,No,0
23,female,High School,111369,0,RENT,35000,MEDICAL,20,0.31,694,No,1
23,male,Bachelor,136628,0,RENT,35000,DEBTCONSOLIDATION,18.25,0.26,709,No,1
25,male,Bachelor,195718,0,RENT,35000,VENTURE,7.49,0.18,684,Yes,0
25,male,High School,165792,4,RENT,34800,PERSONAL,16.77,0.21,662,No,0
22,female,Master,79255,0,RENT,34000,EDUCATION,17.58,0.43,691,No,1
22,male,Bachelor,97420,1,RENT,33950,PERSONAL,14.54,0.35,691,No,1
24,female,High School,82443,0,RENT,33000,HOMEIMPROVEMENT,12.68,0.4,654,No,1
24,female,Bachelor,79054,1,RENT,32500,HOMEIMPROVEMENT,9.99,0.41,700,No,1
25,male,Bachelor,144855,1,RENT,32000,VENTURE,6.62,0.22,586,Yes,0
26,male,Bachelor,114645,2,RENT,31050,HOMEIMPROVEMENT,14.17,0.27,681,No,1
25,female,High School,368115,3,RENT,24250,DEBTCONSOLIDATION,13.85,0.07,567,Yes,0
22,female,Bachelor,58868,0,RENT,30000,EDUCATION,18.39,0.51,606,No,1
24,male,High School,78026,3,RENT,30000,DEBTCONSOLIDATION,14.54,0.38,582,No,1
25,male,Bachelor,90785,4,RENT,30000,HOMEIMPROVEMENT,16.89,0.33,649,No,1
23,female,High School,86811,0,RENT,30000,DEBTCONSOLIDATION,11.01,0.35,602,No,1
26,male,Bachelor,75503,5,RENT,30000,MEDICAL,17.99,0.4,616,No,1
26,male,Bachelor,361293,5,MORTGAGE,20000,VENTURE,7.88,0.06,684,Yes,0
23,male,High School,361547,0,OWN,24250,EDUCATION,19.41,0.07,637,Yes,0
26,male,Master,360680,5,OWN,10000,HOMEIMPROVEMENT,10.38,0.03,649,No,0
